disease,food,ingredients
Neuroaxonal dystrophy,Sardines & Spinach with Wheat germ,"Sardines, Spinach, Wheat germ"
Neuroaxonal dystrophy,Sardines & Sweet potato with Sunflower seeds,"Sardines, Sweet potato, Sunflower seeds"
Neuroaxonal dystrophy,Sardines with Spinach & Sweet potato,"Sardines, Spinach, Sweet potato"
Neuroaxonal dystrophy,Strong Bones Egg Mix #4,"Egg (whole), Sweet potato, Spinach, Pumpkin seeds"
Optic nerve hypoplasia and micropapilla,Beef liver & Carrot with Cod liver oil,"Beef liver, Carrot, Cod liver oil"
Optic nerve hypoplasia and micropapilla,Beef liver & Carrot with Sunflower seeds,"Beef liver, Carrot, Sunflower seeds"
Optic nerve hypoplasia and micropapilla,Beef liver & Salmon Stew with Carrot,"Beef liver, Salmon, Carrot"
Optic nerve hypoplasia and micropapilla,Beef liver & Sweet potato with Cod liver oil,"Beef liver, Sweet potato, Cod liver oil"
Optic nerve hypoplasia and micropapilla,Beef liver with Carrot & Kale,"Beef liver, Carrot, Kale"
Optic nerve hypoplasia and micropapilla,Beef liver with Carrot & Pumpkin,"Beef liver, Carrot, Pumpkin"
Optic nerve hypoplasia and micropapilla,Beef liver with Carrot & Sweet potato,"Beef liver, Carrot, Sweet potato"
Optic nerve hypoplasia and micropapilla,Bright Eyes Salmon Bowl #1,"Salmon, Sweet potato, Spinach, Broccoli, Blueberry"
Optic nerve hypoplasia and micropapilla,Clear Sight Egg yolk Dinner #3,"Egg yolk, Sweet potato, Carrot, Kale, Blueberry"
Optic nerve hypoplasia and micropapilla,Egg yolk & Kale with Cod liver oil,"Egg yolk, Kale, Cod liver oil"
Optic nerve hypoplasia and micropapilla,Egg yolk & Spinach with Cod liver oil,"Egg yolk, Spinach, Cod liver oil"
Optic nerve hypoplasia and micropapilla,Retina Guard Beef liver Mix #4,"Beef liver, Pumpkin, Kale, Spinach, Sunflower seeds"
Optic nerve hypoplasia and micropapilla,Salmon & Carrot with Cod liver oil,"Salmon, Carrot, Cod liver oil"
Optic nerve hypoplasia and micropapilla,Salmon & Pumpkin with Cod liver oil,"Salmon, Pumpkin, Cod liver oil"
Optic nerve hypoplasia and micropapilla,Salmon & Sweet potato with Cod liver oil,"Salmon, Sweet potato, Cod liver oil"
Optic nerve hypoplasia and micropapilla,Salmon with Carrot & Sweet potato,"Salmon, Carrot, Sweet potato"
Optic nerve hypoplasia and micropapilla,Sardines & Kale with Cod liver oil,"Sardines, Kale, Cod liver oil"
Optic nerve hypoplasia and micropapilla,Sardines & Pumpkin with Cod liver oil,"Sardines, Pumpkin, Cod liver oil"
Optic nerve hypoplasia and micropapilla,Vision Shield Sardine Stew #2,"Sardine, Pumpkin, Broccoli, Carrot, Sunflower seeds"
Osteochondrodysplasia - skeletal dwarfism,Beef & Chickpeas Stew,"Beef, Chickpeas"
Osteochondrodysplasia - skeletal dwarfism,Beef liver & Chickpeas Stew,"Beef liver, Chickpeas"
Osteochondrodysplasia - skeletal dwarfism,Bone meal & Broccoli Chickpeas Stew,"Bone meal, Broccoli, Chickpeas"
Osteochondrodysplasia - skeletal dwarfism,Bone meal & Kale Chickpeas Stew,"Bone meal, Kale, Chickpeas"
Osteochondrodysplasia - skeletal dwarfism,Cartilage Care Salmon Dinner #3,"Salmon, Sweet potato, Chickpeas, Kale, Cod liver oil"
Osteochondrodysplasia - skeletal dwarfism,Chicken & Chickpeas Stew,"Chicken, Chickpeas"
Osteochondrodysplasia - skeletal dwarfism,Egg yolk & Bok choy Chickpeas Stew,"Egg yolk, Bok choy, Chickpeas"
Osteochondrodysplasia - skeletal dwarfism,Egg yolk & Chickpeas Stew,"Egg yolk, Chickpeas"
Osteochondrodysplasia - skeletal dwarfism,Eggs & Chickpeas Stew,"Eggs, Chickpeas"
Osteochondrodysplasia - skeletal dwarfism,Flex & Move Egg Stew #2,"Egg (whole), Sweet potato, Spinach, Chickpeas, Bone broth"
Osteochondrodysplasia - skeletal dwarfism,Joint Shield Chicken feet Bowl #1,"Chicken feet, Sweet potato, Broccoli, Spinach, Pumpkin seeds"
Osteochondrodysplasia - skeletal dwarfism,Joint Support Beef Plate,"Beef, Sweet potato, Broccoli, Spinach, Bone broth"
Osteochondrodysplasia - skeletal dwarfism,Oysters & Chickpeas Stew,"Oysters, Chickpeas"
Osteochondrodysplasia - skeletal dwarfism,Salmon & Bok choy Chickpeas Stew,"Salmon, Bok choy, Chickpeas"
Osteochondrodysplasia - skeletal dwarfism,Salmon & Chickpeas Stew,"Salmon, Chickpeas"
Osteochondrodysplasia - skeletal dwarfism,Sardines & Chickpeas Stew,"Sardines, Chickpeas"
Osteochondrodysplasia - skeletal dwarfism,Sardines with bones & Broccoli Chickpeas Stew,"Sardines with bones, Broccoli, Chickpeas"
Osteochondrodysplasia - skeletal dwarfism,Sardines with bones & Kale Chickpeas Stew,"Sardines with bones, Kale, Chickpeas"
Osteochondrodysplasia - skeletal dwarfism,Strong Bones Sardine Mix #4,"Sardine, Sweet potato, Kale, Broccoli, Pumpkin seeds"
Osteochondrodysplasia - skeletal dwarfism,Turkey & Chickpeas Stew,"Turkey, Chickpeas"
Pancreatitis,Belly Balance Chicken breast Mix #4,"Chicken breast, Oats, Carrot, Zucchini, Sunflower seeds (small)"
Pancreatitis,Chicken & Oats Porridge,"Chicken, Oats"
Pancreatitis,Chicken breast & Pumpkin Oat Porridge,"Chicken breast, Pumpkin, Oats"
Pancreatitis,Chicken breast & Spinach Oat Porridge,"Chicken breast, Spinach, Oats"
Pancreatitis,Chicken breast & Sweet potato Oat Porridge,"Chicken breast, Sweet potato, Oats"
Pancreatitis,Cod & Oats Porridge,"Cod, Oats"
Pancreatitis,Digest Ease White Fish Dinner,"White Fish, White rice, Spinach, Carrot, Sunflower seeds (small)"
Pancreatitis,Egg whites & Oats Porridge,"Egg whites, Oats"
Pancreatitis,Egg whites & Spinach Oat Porridge,"Egg whites, Spinach, Oats"
Pancreatitis,Eggs & Oats Porridge,"Eggs, Oats"
Pancreatitis,Gentle Gut Chicken Plate,"Chicken, Sweet potato, Zucchini, Spinach, Sunflower seeds (small)"
Pancreatitis,Gut Heal Egg White Stew #2,"Egg White, Pumpkin, Zucchini, Spinach, Sunflower seeds (small)"
Pancreatitis,Salmon & Oats Porridge,"Salmon, Oats"
Pancreatitis,Sardines & Oats Porridge,"Sardines, Oats"
Pancreatitis,Tummy Calm Chicken Breast (boiled) Bowl,"Chicken Breast (boiled), Sweet potato, Carrot, Zucchini, Sunflower seeds (small)"
Pancreatitis,Tuna & Oats Porridge,"Tuna, Oats"
Pancreatitis,Turkey & Pumpkin Oat Porridge,"Turkey, Pumpkin, Oats"
Pancreatitis,Turkey & Sweet potato Oat Porridge,"Turkey, Sweet potato, Oats"
Pancreatitis,White fish & Oats Porridge,"White fish, Oats"
Pancreatitis,White fish & Spinach Oat Porridge,"White fish, Spinach, Oats"
Pannus - chronic superficial keratitis,Beef liver & Blueberries Bowl,"Beef liver, Blueberries"
Pannus - chronic superficial keratitis,Beef liver & Pumpkin Bowl with Blueberries,"Beef liver, Pumpkin, Blueberries"
Pannus - chronic superficial keratitis,Bright Eyes Egg yolk Bowl #1,"Egg yolk, Sweet potato, Carrot, Kale, Blueberry"
Pannus - chronic superficial keratitis,Clear Sight Sardine Dinner #3,"Sardine, Sweet potato, Spinach, Broccoli, Blueberries"
Pannus - chronic superficial keratitis,Egg yolk & Carrot Bowl with Blueberries,"Egg yolk, Carrot, Blueberries"
Pannus - chronic superficial keratitis,Egg yolk & Pumpkin Bowl with Blueberries,"Egg yolk, Pumpkin, Blueberries"
Pannus - chronic superficial keratitis,Eye Protect Herring Plate #5,"Herring, Sweet potato, Carrot, Kale, Apples (no seeds)"
Pannus - chronic superficial keratitis,Herring & Broccoli Bowl with Blueberries,"Herring, Broccoli, Blueberries"
Pannus - chronic superficial keratitis,Herring & Carrot Bowl with Blueberries,"Herring, Carrot, Blueberries"
Pannus - chronic superficial keratitis,Mackerel & Broccoli Bowl with Blueberries,"Mackerel, Broccoli, Blueberries"
Pannus - chronic superficial keratitis,Mackerel & Kale Bowl with Blueberries,"Mackerel, Kale, Blueberries"
Pannus - chronic superficial keratitis,Retina Guard Beef liver Mix #4,"Beef liver, Pumpkin, Broccoli, Carrot, Flaxseed"
Pannus - chronic superficial keratitis,Salmon & Spinach Bowl with Apple,"Salmon, Spinach, Apple"
Pannus - chronic superficial keratitis,Salmon & Spinach Bowl with Blueberries,"Salmon, Spinach, Blueberries"
Pannus - chronic superficial keratitis,Salmon & Sweet potato Bowl with Blueberries,"Salmon, Sweet potato, Blueberries"
Pannus - chronic superficial keratitis,Salmon with Spinach & Sweet potato,"Salmon, Spinach, Sweet potato"
Pannus - chronic superficial keratitis,Sardines & Kale Bowl with Blueberries,"Sardines, Kale, Blueberries"
Pannus - chronic superficial keratitis,Sardines & Spinach Bowl with Blueberries,"Sardines, Spinach, Blueberries"
Pannus - chronic superficial keratitis,Sardines & Sweet potato Bowl with Blueberries,"Sardines, Sweet potato, Blueberries"
Pannus - chronic superficial keratitis,Vision Shield Salmon Stew #2,"Salmon, Pumpkin, Kale, Spinach, Pumpkin seeds"
Panosteitis,Beef liver & Blueberries Bowl,"Beef liver, Blueberries"
Panosteitis,Bone meal & Broccoli Bowl with Blueberries,"Bone meal, Broccoli, Blueberries"
Panosteitis,Bone meal & Kale Bowl with Blueberries,"Bone meal, Kale, Blueberries"
Panosteitis,Bone meal with Kale & Broccoli,"Bone meal, Kale, Broccoli"
Panosteitis,Care Blend Beef liver Plate #5,"Beef liver, Pumpkin, Broccoli, Spinach, Blueberries"
Panosteitis,Chicken & Bell pepper Bowl with Blueberries,"Chicken, Bell pepper, Blueberries"
Panosteitis,Chicken & Sweet potato Bowl with Blueberries,"Chicken, Sweet potato, Blueberries"
Panosteitis,Egg yolk & Blueberries Bowl,"Egg yolk, Blueberries"
Panosteitis,Eggs & Blueberries Bowl,"Eggs, Blueberries"
Panosteitis,Health Guard Egg Mix #4,"Egg (whole), Sweet potato, Kale, Broccoli, Pumpkin seeds"
Panosteitis,Mackerel & Blueberries Bowl,"Mackerel, Blueberries"
Panosteitis,Nourish Sardine Stew #2,"Sardine, Pumpkin, Spinach, Bell pepper, Pumpkin seeds"
Panosteitis,Salmon & Blueberries Bowl,"Salmon, Blueberries"
Panosteitis,Sardines & Blueberries Bowl,"Sardines, Blueberries"
Panosteitis,Sardines with bones & Bell pepper Bowl with Blueberries,"Sardines with bones, Bell pepper, Blueberries"
Panosteitis,Sardines with bones & Broccoli Bowl with Blueberries,"Sardines with bones, Broccoli, Blueberries"
Panosteitis,Turkey & Blueberries Bowl,"Turkey, Blueberries"
Panosteitis,Turkey & Sweet potato Bowl with Blueberries,"Turkey, Sweet potato, Blueberries"
Panosteitis,Vitality Chicken breast Dinner,"Chicken breast, Rice, Bell pepper, Kale, Blueberries"
Panosteitis,Wellness Salmon Bowl #1,"Salmon, Sweet potato, Broccoli, Spinach, Blueberries"
Patellar luxation,Beef trachea & Blueberries Bowl,"Beef trachea, Blueberries"
Patellar luxation,Beef trachea & Sweet potato Bowl with Blueberries,"Beef trachea, Sweet potato, Blueberries"
Patellar luxation,Bone broth & Kale Bowl with Blueberries,"Bone broth, Kale, Blueberries"
Patellar luxation,Bone broth & Sweet potato Bowl with Blueberries,"Bone broth, Sweet potato, Blueberries"
Patellar luxation,Bone meal & Blueberries Bowl,"Bone meal, Blueberries"
Patellar luxation,Cartilage Care Salmon Dinner #3,"Salmon, Sweet potato, Kale, Bell pepper, Blueberries"
Patellar luxation,Chicken feet & Broccoli Bowl with Blueberries,"Chicken feet, Broccoli, Blueberries"
Patellar luxation,Chicken feet with Broccoli & Bell pepper,"Chicken feet, Broccoli, Bell pepper"
Patellar luxation,Chicken sternum cartilage & Blueberries Bowl,"Chicken sternum cartilage, Blueberries"
Patellar luxation,Flex & Move Egg Stew #2,"Egg (whole), Sweet potato, Broccoli, Kale, Flaxseed"
Patellar luxation,Green-lipped mussel & Bell pepper Bowl with Blueberries,"Green-lipped mussel, Bell pepper, Blueberries"
Patellar luxation,Green-lipped mussel & Kale Bowl with Blueberries,"Green-lipped mussel, Kale, Blueberries"
Patellar luxation,Herring & Blueberries Bowl,"Herring, Blueberries"
Patellar luxation,Joint Shield Chicken feet Bowl #1,"Chicken feet, Sweet potato, Spinach, Broccoli, Blueberries"
Patellar luxation,Joint Support Chicken breast Plate #5,"Chicken breast, Sweet potato, Spinach, Broccoli, Blueberries"
Patellar luxation,Mackerel & Blueberries Bowl,"Mackerel, Blueberries"
Patellar luxation,Salmon & Blueberries Bowl,"Salmon, Blueberries"
Patellar luxation,Sardines & Blueberries Bowl,"Sardines, Blueberries"
Patellar luxation,Shark cartilage & Blueberries Bowl,"Shark cartilage, Blueberries"
Patellar luxation,Strong Bones Sardine Mix #4,"Sardine, Sweet potato, Bell pepper, Spinach, Bone broth"
Patent ductus arteriosus (PDA),Beef heart & Chicken Stew with Spinach,"Beef heart, Chicken, Spinach"
Patent ductus arteriosus (PDA),Beef heart & Chicken Stew with Sweet potato,"Beef heart, Chicken, Sweet potato"
Patent ductus arteriosus (PDA),Beef heart & Sardines Stew with Spinach,"Beef heart, Sardines, Spinach"
Patent ductus arteriosus (PDA),Beef heart & Spinach with Sunflower seeds,"Beef heart, Spinach, Sunflower seeds"
Patent ductus arteriosus (PDA),Beef heart & Sweet potato with Sunflower seeds,"Beef heart, Sweet potato, Sunflower seeds"
Patent ductus arteriosus (PDA),Beef heart & Turkey Stew with Spinach,"Beef heart, Turkey, Spinach"
Patent ductus arteriosus (PDA),Beef heart & Turkey Stew with Sweet potato,"Beef heart, Turkey, Sweet potato"
Patent ductus arteriosus (PDA),Beef heart with Spinach & Sweet potato,"Beef heart, Spinach, Sweet potato"
Patent ductus arteriosus (PDA),Cardio Shield Chicken heart Stew #2,"Chicken heart, Sweet potato, Spinach, Pumpkin seeds"
Patent ductus arteriosus (PDA),Chicken & Spinach with Sunflower seeds,"Chicken, Spinach, Sunflower seeds"
Patent ductus arteriosus (PDA),Chicken & Sweet potato with Sunflower seeds,"Chicken, Sweet potato, Sunflower seeds"
Patent ductus arteriosus (PDA),Chicken & Turkey Stew with Spinach,"Chicken, Turkey, Spinach"
Patent ductus arteriosus (PDA),Chicken with Spinach & Sweet potato,"Chicken, Spinach, Sweet potato"
Patent ductus arteriosus (PDA),Heart Guard Beef heart Bowl #1,"Beef heart, Sweet potato, Spinach, Flaxseed"
Patent ductus arteriosus (PDA),Heart Health Sardine Plate #5,"Sardine, Sweet potato, Spinach, Pumpkin seeds"
Patent ductus arteriosus (PDA),Sardines with Spinach & Sweet potato,"Sardines, Spinach, Sweet potato"
Patent ductus arteriosus (PDA),Strong Heart Egg Dinner,"Egg (whole), Sweet potato, Spinach, Sunflower seeds"
Patent ductus arteriosus (PDA),Taurine Boost Salmon Mix,"Salmon, Sweet potato, Spinach, Flaxseed"
Patent ductus arteriosus (PDA),Turkey & Spinach with Sunflower seeds,"Turkey, Spinach, Sunflower seeds"
Patent ductus arteriosus (PDA),Turkey with Spinach & Sweet potato,"Turkey, Spinach, Sweet potato"
Pemphigus,Beef & Chickpeas Stew,"Beef, Chickpeas"
Pemphigus,Beef liver & Chickpeas Stew,"Beef liver, Chickpeas"
Pemphigus,Chicken & Chickpeas Stew,"Chicken, Chickpeas"
Pemphigus,Coat Shine Sardine Stew #2,"Sardine, Sweet potato, Chickpeas, Spinach, Pumpkin seeds"
Pemphigus,Derma Care Egg Dinner,"Egg (whole), Sweet potato, Spinach, Chickpeas, Blueberry"
Pemphigus,Egg yolk & Chickpeas Stew,"Egg yolk, Chickpeas"
Pemphigus,Eggs & Chickpeas Stew,"Eggs, Chickpeas"
Pemphigus,Fur Renewal Beef liver Plate #5,"Beef liver, Sweet potato, Spinach, Chickpeas, Blueberry"
Pemphigus,Herring & Chickpeas Stew,"Herring, Chickpeas"
Pemphigus,Itch Relief Beef Mix #4,"Beef, Sweet potato, Chickpeas, Spinach, Cod liver oil"
Pemphigus,Mackerel & Chickpeas Stew,"Mackerel, Chickpeas"
Pemphigus,Mackerel & Spinach Chickpeas Stew,"Mackerel, Spinach, Chickpeas"
Pemphigus,Oysters & Chickpeas Stew,"Oysters, Chickpeas"
Pemphigus,Salmon & Spinach Chickpeas Stew,"Salmon, Spinach, Chickpeas"
Pemphigus,Salmon & Sweet potato Chickpeas Stew,"Salmon, Sweet potato, Chickpeas"
Pemphigus,Salmon with Spinach & Sweet potato,"Salmon, Spinach, Sweet potato"
Pemphigus,Sardines & Spinach Chickpeas Stew,"Sardines, Spinach, Chickpeas"
Pemphigus,Sardines & Sweet potato Chickpeas Stew,"Sardines, Sweet potato, Chickpeas"
Pemphigus,Skin Glow Salmon Bowl #1,"Salmon, Sweet potato, Spinach, Chickpeas, Blueberry"
Pemphigus,Tuna & Chickpeas Stew,"Tuna, Chickpeas"
Perianal fistula,Beef & Blueberries Bowl,"Beef, Blueberries"
Perianal fistula,Beef & Chickpeas Stew,"Beef, Chickpeas"
Perianal fistula,Beef liver & Chickpeas Stew,"Beef liver, Chickpeas"
Perianal fistula,Care Blend Venison Plate,"Venison, Pumpkin, Spinach, Broccoli, Apples (no seeds)"
Perianal fistula,Egg yolk & Blueberries Bowl,"Egg yolk, Blueberries"
Perianal fistula,Egg yolk & Chickpeas Stew,"Egg yolk, Chickpeas"
Perianal fistula,Health Guard Egg Mix #4,"Egg (whole), Sweet potato, Kale, Spinach, Sunflower seeds"
Perianal fistula,Herring & Broccoli Chickpeas Stew,"Herring, Broccoli, Chickpeas"
Perianal fistula,Herring & Kale Chickpeas Stew,"Herring, Kale, Chickpeas"
Perianal fistula,Mackerel & Broccoli Chickpeas Stew,"Mackerel, Broccoli, Chickpeas"
Perianal fistula,Mackerel & Kale Chickpeas Stew,"Mackerel, Kale, Chickpeas"
Perianal fistula,Nourish Sardine Stew #2,"Sardine, Sweet potato, Broccoli, Chickpeas, Cod liver oil"
Perianal fistula,Oysters & Blueberries Bowl,"Oysters, Blueberries"
Perianal fistula,Oysters & Chickpeas Stew,"Oysters, Chickpeas"
Perianal fistula,Salmon & Spinach Chickpeas Stew,"Salmon, Spinach, Chickpeas"
Perianal fistula,Salmon & Sweet potato Chickpeas Stew,"Salmon, Sweet potato, Chickpeas"
Perianal fistula,Sardines & Spinach Chickpeas Stew,"Sardines, Spinach, Chickpeas"
Perianal fistula,Sardines & Sweet potato Chickpeas Stew,"Sardines, Sweet potato, Chickpeas"
Perianal fistula,Vitality Duck Dinner,"Duck, Pumpkin, Chickpeas, Kale, Apples (no seeds)"
Perianal fistula,Wellness Salmon Bowl #1,"Salmon, Pumpkin, Spinach, Broccoli, Apples (no seeds)"
Peripheral neuropathies,Beef liver & Spinach Brown Rice Bowl,"Beef liver, Spinach, Brown rice"
Peripheral neuropathies,Beef liver & Spinach Oat Porridge,"Beef liver, Spinach, Oats"
Peripheral neuropathies,Brain Boost Salmon Bowl #1,"Salmon, Sweet potato, Spinach, Broccoli, Pumpkin seeds"
Peripheral neuropathies,Calm Mind Beef liver Dinner #3,"Beef liver, Brown rice, Brussels sprouts, Spinach, Sunflower seeds"
Peripheral neuropathies,Chicken & Brown rice Bowl,"Chicken, Brown rice"
Peripheral neuropathies,Chicken & Oats Porridge,"Chicken, Oats"
Peripheral neuropathies,Eggs & Brown rice Bowl,"Eggs, Brown rice"
Peripheral neuropathies,Eggs & Oats Porridge,"Eggs, Oats"
Peripheral neuropathies,Mackerel & Brown rice Bowl,"Mackerel, Brown rice"
Peripheral neuropathies,Mackerel & Oats Porridge,"Mackerel, Oats"
Peripheral neuropathies,Nerve Care Chicken Liver Mix #4,"Chicken Liver, Oats, Spinach, Broccoli, Pumpkin seeds"
Peripheral neuropathies,Neuro Shield Sardine Stew #2,"Sardine, Banana, Broccoli, Brussels sprouts, Cod liver oil"
Peripheral neuropathies,Pork & Brown rice Bowl,"Pork, Brown rice"
Peripheral neuropathies,Pork & Oats Porridge,"Pork, Oats"
Peripheral neuropathies,Salmon & Brown rice Bowl,"Salmon, Brown rice"
Peripheral neuropathies,Sardines & Broccoli Brown Rice Bowl,"Sardines, Broccoli, Brown rice"
Peripheral neuropathies,Sardines & Broccoli Oat Porridge,"Sardines, Broccoli, Oats"
Peripheral neuropathies,Seizure Shield Egg Plate,"Egg (whole), Sweet potato, Broccoli, Brussels sprouts, Cod liver oil"
Peripheral neuropathies,Turkey & Brown rice Bowl,"Turkey, Brown rice"
Peripheral neuropathies,Turkey & Oats Porridge,"Turkey, Oats"
Persistent pupillary membranes (PPM),Beef & Pumpkin with Pumpkin seeds,"Beef, Pumpkin, Pumpkin seeds"
Persistent pupillary membranes (PPM),Beef liver & Beef Stew with Carrot,"Beef liver, Beef, Carrot"
Persistent pupillary membranes (PPM),Beef liver & Carrot with Pumpkin seeds,"Beef liver, Carrot, Pumpkin seeds"
Persistent pupillary membranes (PPM),Beef liver & Oysters Stew with Carrot,"Beef liver, Oysters, Carrot"
Persistent pupillary membranes (PPM),Beef liver & Oysters Stew with Sweet potato,"Beef liver, Oysters, Sweet potato"
Persistent pupillary membranes (PPM),Beef liver & Sweet potato with Pumpkin seeds,"Beef liver, Sweet potato, Pumpkin seeds"
Persistent pupillary membranes (PPM),Beef liver with Carrot & Pumpkin,"Beef liver, Carrot, Pumpkin"
Persistent pupillary membranes (PPM),Beef liver with Carrot & Sweet potato,"Beef liver, Carrot, Sweet potato"
Persistent pupillary membranes (PPM),Beef liver with Sweet potato & Pumpkin,"Beef liver, Sweet potato, Pumpkin"
